,id,structure__formula_full,structure__id,structure__e_above_hull,structure__prototype2__name,structure__prototype2__formula_reduced,vaspcalca__energy_barrier,vaspcalcb__energy_barrier,empiricalmeasures__dimensionality,empiricalmeasures__dimensionality_cumlengths
25,2075,Ba2 Ag2 Se2 F2,mp-1079647,0.0,AgLaOS,LaAgSO,0.7442143700000088,0.4177421100000629,2,2
26,3889,Ge1 N2 F6,mp-1079674,1.1219239733466684,K2PtCl6,K2PtCl6,0.5810678099999791,,2,3
27,3437,Sr2 Mn2 Sb2 F2,mp-1080128,0.04352482037152949,AgLaOS,LaAgSO,0.38094379000000345,0.4905971700000009,2,2
28,2719,Sr2 Zn2 As2 F2,mp-1080135,0.0,AgLaOS,LaAgSO,0.8202176899999927,0.19826339999997344,2,2
29,2688,Ba2 Ag2 S2 F2,mp-1086652,0.0,AgLaOS,LaAgSO,0.6236358499999994,0.4141607799999747,2,2
30,1354,Tb2 S2 F2,mp-10930,0.0,Matlockite,PbClF,0.7793322900000135,0.2667483600000651,2,2
31,1258,Ho2 S2 F2,mp-10931,0.0,Matlockite,PbClF,0.780345049999994,0.17815184999994926,2,2
32,1313,Er2 S2 F2,mp-10932,0.002333886851850764,Matlockite,PbClF,0.7843088600000101,,2,2
33,2338,Ba2 Cd2 As2 F2,mp-1095151,0.0,AgLaOS,LaAgSO,0.7876253299999973,0.40180705000000216,2,2
34,5566,Li2 Fe2 F6,mp-1097043,0.17792755499999746,PrNiO3,PrNiO3,0.5544223900000134,,3,3
35,686,Ca1 Tl1 F3,mp-1097061,0.01809974799999914,(Cubic) Perovskite,CaTiO3,0.7842499999999859,,1,3
36,603,Mn1 In1 F3,mp-1099572,0.031174786666666954,(Cubic) Perovskite,CaTiO3,0.7724214799999913,0.48005124999997406,3,3
37,9972,Tl2 Bi2 F8,mp-1100999,0.0387405277777777,Scheelite,CaWO4,0.564517660000007,,1,3
38,2131,La2 F6,mp-1101074,0.11996147583333361,beta Cu3Ti,TiCu3,0.5820091400000251,,1,3
39,4393,Na1 Li2 Ti1 F6,mp-1111096,0.299459365638886,Double perovskite,Ba2MnWO6,0.29100610000000415,,2,3
40,7312,K2 Na1 As1 F6,mp-1111108,0.0,Double perovskite,Ba2MnWO6,0.6366697499999532,,0,3
41,4448,Li3 Sb1 F6,mp-1111286,0.34060211187499956,Cryolite,Na3AlF6,0.9078649100000007,,2,3
42,7979,Na2 Ag1 Sb1 F6,mp-1111526,0.2889452545833322,Double perovskite,Ba2MnWO6,0.775698900000009,,2,3
43,6050,Li2 Cu1 As1 F6,mp-1111561,0.4054073652500003,Double perovskite,Ba2MnWO6,0.8456752199999755,,2,3
44,691,Rb1 Au1 F3,mp-1111644,0.12659474266666626,(Cubic) Perovskite,CaTiO3,0.6485767899999928,,3,3
45,7368,K2 Li1 Rh1 F6,mp-1111665,0.0,Double perovskite,Ba2MnWO6,0.9118879600000014,,0,3
46,5391,Li3 Au1 F6,mp-1111690,0.36920655775000144,Cryolite,Na3AlF6,0.9539698899999962,,2,3
47,5605,Na1 Li2 As1 F6,mp-1111887,0.3309539572500002,Double perovskite,Ba2MnWO6,0.9490213799999765,,2,3
48,5930,Li2 Cu1 Au1 F6,mp-1111901,0.3478672281666677,Double perovskite,Ba2MnWO6,0.7893301800000359,,2,3
49,7999,K2 Li1 Ru1 F6,mp-1111923,0.0,Double perovskite,Ba2MnWO6,0.8426549199999727,,0,3
50,5398,K2 Li1 Cr1 F6,mp-1111927,0.0,Double perovskite,Ba2MnWO6,0.8815473799999722,,0,3
51,5352,Cs1 K2 Tl1 F6,mp-1111971,0.1340718921250037,Double perovskite,Ba2MnWO6,-0.07005403000000143,,2,3
52,523,K1 Au1 F3,mp-1112172,0.16071156933333297,(Cubic) Perovskite,CaTiO3,0.5874515799999926,,3,3
53,7447,K1 Na2 As1 F6,mp-1113961,0.2156163477499975,Double perovskite,Ba2MnWO6,0.8098108500000194,,2,3
54,6397,Na3 Pd1 F6,mp-1114332,0.1311527853333292,Cryolite,Na3AlF6,0.7411286799999743,,2,3
55,3995,K2 Rb1 Pr1 F6,mp-1114674,0.1424425972500014,Double perovskite,Ba2MnWO6,0.7824190099999981,,2,3
56,4457,Rb2 Li1 As1 F6,mp-1114698,0.0,Double perovskite,Ba2MnWO6,0.6335469699999976,,0,3
57,7454,Rb2 Li1 Ti1 F6,mp-1114704,0.0,Double perovskite,Ba2MnWO6,0.5613142400000015,,0,3
58,19474,Li4 Mn4 F12,mp-1176632,0.04389383499998356,Orthorhombic Perovskite,CaTiO3,0.7113331099999982,,1,3
59,9021,Li2 Fe2 F8,mp-1176693,0.015428944166667513,AlNbO4,NbAlO4,0.06396558000000141,,1,1
60,20009,Mn4 N4 F12,mp-1180187,1.0510554600239992,(Cubic) Perovskite,CaTiO3,0.2798184800000172,,1,3
61,8242,K2 Cr2 F6,mp-1180767,0.6880213240000002,AuCl3Cs,CsAuCl3,0.7080692999999769,,2,3
62,7089,K2 Cr2 F6,mp-1180782,0.0025428290000002463,AuCl3Cs,CsAuCl3,0.7042011099999854,,1,3
63,3051,Ag6 F2,mp-1183244,0.21890773708333366,,Ni3Sn,0.4208270200000186,,3,3
64,250,Ba1 F3,mp-1183303,0.06120552249999989,alpha bismuth trifluoride,BiF3,0.037367530000011584,,2,3
65,129,Ca2 F2,mp-1183545,0.3654533474999999,Wurtzite,ZnS,0.3139031600000237,,3,3
